id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1260835441562890244,1260835441562890244,2020-05-14 13:02:49 India Standard Time,2020-05-14,13:02:49,+0530,985130850508574720,asbbtrust,Association Of Social Beyond Boundaries,,"The @mumbaidabbawale have a special place in our hearts. Now is the time in life of dabbawallas where they need our help. As there services are not required in the lockdown. @asbbtrust did what it. Thank you Kiran Gawande ji, General Secretary of Mumbai Dabbawala.  https://t.co/4FN9qd7LNC",en,"[{'screen_name': 'mumbaidabbawale', 'name': 'mumbai dabbawala', 'id': '1057570612858707971'}, {'screen_name': 'asbbtrust', 'name': 'association of social beyond boundaries', 'id': '985130850508574720'}]",[],[],0,2,2,[],[],https://twitter.com/asbbtrust/status/1260835441562890244,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1260835360344436736/pu/img/kbKxmABXG9JXvkBh.jpg,Mumbai ,,,,,,[],,,,
1246337595124015104,1246337595124015104,2020-04-04 12:53:33 India Standard Time,2020-04-04,12:53:33,+0530,1084027572239749120,imran_sidd97,عمران صدیقی,,मुंबई डब्बावाला 🚲  . . . . . @mumbaimatterz @RoadsOfMumbai 📸 - @OnePlus_IN #Mumbai #dabbawala #sculpture #ShotonOnePlus #Throwbacks  https://t.co/pM5Zmh2doJ,hi,"[{'screen_name': 'mumbaimatterz', 'name': 'मुंबई matters™✳️', 'id': '1010049076434358273'}, {'screen_name': 'roadsofmumbai', 'name': 'roads of mumbai 🇮🇳', 'id': '4774969895'}, {'screen_name': 'oneplus_in', 'name': 'oneplus india', 'id': '3138727082'}]",[],['https://pbs.twimg.com/media/EUvha_9UcAAUq0O.jpg'],0,0,1,"['mumbai', 'dabbawala', 'sculpture', 'shotononeplus', 'throwbacks']",[],https://twitter.com/imran_sidd97/status/1246337595124015104,False,,1,https://pbs.twimg.com/media/EUvha_9UcAAUq0O.jpg,Mumbai ,,,,,,[],,,,
1206624561942286344,1206624561942286344,2019-12-16 22:48:08 India Standard Time,2019-12-16,22:48:08,+0530,914475185582915584,mushtaqansari80,Mushtaq Ansari 🇮🇳#PotholeWarriors #ConcreteRoads,,"With Mr Vilas Shinde , #MumbaiDabbaWala from Versova He this the 1 whom Prince Charles came to meet from #London. He feeds Food to poor daily evening frm juhu to #andheri lokhandwala yari road to poor people who sleep on street!  V good &amp; #nobleWork he is doing! @anandmahindra  https://t.co/MpIU9jNLCD",en,"[{'screen_name': 'anandmahindra', 'name': 'anand mahindra', 'id': '34197952'}]",[],['https://pbs.twimg.com/media/EL7KnM6U0AIIRM4.jpg'],0,2,6,"['mumbaidabbawala', 'london', 'andheri', 'noblework']",[],https://twitter.com/MushtaqAnsari80/status/1206624561942286344,False,,1,https://pbs.twimg.com/media/EL7KnM6U0AIIRM4.jpg,Mumbai ,,,,,,[],,,,
1201754762426765312,1201754762426765312,2019-12-03 12:17:17 India Standard Time,2019-12-03,12:17:17,+0530,1150074114431803392,tusharchavanifs,Tushar Chavan,,Efficiency and time management of mumbai dabbawala from Mr. Raghunath Medge @mumbaidabbawale @TISSMumbai wonderful learning  https://t.co/v11gC5gAQ6,en,"[{'screen_name': 'mumbaidabbawale', 'name': 'mumbai dabbawala', 'id': '1057570612858707971'}, {'screen_name': 'tissmumbai', 'name': 'tiss mumbai', 'id': '809302188'}]",[],['https://pbs.twimg.com/media/EK19kywUYAEpsSW.jpg'],1,0,6,[],[],https://twitter.com/tusharchavanifs/status/1201754762426765312,False,,1,https://pbs.twimg.com/media/EK19kywUYAEpsSW.jpg,Mumbai ,,,,,,[],,,,
1197763546957795328,1197763546957795328,2019-11-22 11:57:37 India Standard Time,2019-11-22,11:57:37,+0530,17810918,roostamirani,Ross,,@Mumbai @dabbawala ready to deliver and save people from hunger.  https://t.co/L7JJJ8J3HD,en,"[{'screen_name': 'dabbawala', 'name': 'dabbawala', 'id': '50593759'}]",[],"['https://pbs.twimg.com/media/EJ9PkvlXYAAE_bE.jpg', 'https://pbs.twimg.com/media/EJ9PlqUW4AAaTRc.jpg']",0,0,0,[],[],https://twitter.com/Roostamirani/status/1197763546957795328,False,,1,https://pbs.twimg.com/media/EJ9PkvlXYAAE_bE.jpg,Mumbai ,,,,,,[],,,,
1193576039223422978,1193576039223422978,2019-11-10 22:37:57 India Standard Time,2019-11-10,22:37:57,+0530,1142764502485651456,joshi_swati_,Swati Joshi,,Day 7- Daabas ready to reach their destination.  #Mumbai #dabbawala #30dayschallenge #people  https://t.co/8ZuH8CMFIu,en,[],[],['https://pbs.twimg.com/media/EJBu8yNVAAAyAN4.jpg'],0,0,3,"['mumbai', 'dabbawala', '30dayschallenge', 'people']",[],https://twitter.com/joshi_swati_/status/1193576039223422978,False,,1,https://pbs.twimg.com/media/EJBu8yNVAAAyAN4.jpg,Mumbai ,,,,,,[],,,,
1184882556665135104,1184882556665135104,2019-10-17 22:53:10 India Standard Time,2019-10-17,22:53:10,+0530,329537679,pravinseta,Pravin Seta,,The Mumbai Dabbawala on Cycle.  https://t.co/XiEenlHRtH,en,[],[],"['https://pbs.twimg.com/media/EHGMXm0VUAACgGS.jpg', 'https://pbs.twimg.com/media/EHGMY5kVUAAkjR_.jpg']",0,0,0,[],[],https://twitter.com/PravinSeta/status/1184882556665135104,False,,1,https://pbs.twimg.com/media/EHGMXm0VUAACgGS.jpg,Mumbai ,,,,,,[],,,,
1184691460668452864,1184691460668452864,2019-10-17 10:13:49 India Standard Time,2019-10-17,10:13:49,+0530,2250292585,gayatrivkale,Gayatri Kale,"{'type': 'Point', 'coordinates': [19.17419, 72.96865]}",Time and Tide wait for no man! The phrase seems most apt for Aamchi Mumbai.  . #dabbawala in frame!  #BombayNahiBeMumbai  #MumbaiNahiBeBombay  Well have the heart and soul to it's sound!  Sharing the photo series of…  https://t.co/eYojtyxyVL,en,[],['https://www.instagram.com/p/B3tNKfggqwE/?igshid=a56ukhlw8zpc'],[],0,0,0,"['dabbawala', 'bombaynahibemumbai', 'mumbainahibebombay']",[],https://twitter.com/GayatriVkale/status/1184691460668452864,False,,0,,Mumbai ,,,,,,[],,,,
1174947868286676994,1174947868286676994,2019-09-20 12:56:15 India Standard Time,2019-09-20,12:56:15,+0530,869509840514686976,mumbaidreamtour,mumbaidreamtours,"{'type': 'Point', 'coordinates': [19.0621, 72.8764]}","Experience The best tour in Mumbai. Where you can also have local train ride with three spots Dabbawala, dhobi ghat and dharavi slum.   Tour operators every day from churchgate railway station ticket window no.16…  https://t.co/Ysp7yVZKIf",en,[],['https://www.instagram.com/p/B2n-R4aAb0X/?igshid=1cwqrvbv9czzz'],[],0,0,0,[],[],https://twitter.com/mumbaidreamtour/status/1174947868286676994,False,,0,,Mumbai ,,,,,,[],,,,
1166009429835296768,1166009429835296768,2019-08-26 20:58:06 India Standard Time,2019-08-26,20:58:06,+0530,2983557672,pkalhatkar,Prakash kalhatkar,,"हीच ती सायकल आणि हेच ते डब्बे जिच्या मूळे आमंच पालन पोषण झाल.आम्ही मोठे झालो, सक्षम झालो,आमचे बाबा आणि आमची सायकल व डब्बे.मुंबईचा डब्बेवाला . Proud to be Mumbai dabbawala #ashishshelar #CMOMaharashtra #adityathackeray #RajThackeray #Mumbai #mumbaikar #mumbailocal  https://t.co/yLXoWMcMM9",mr,[],[],['https://pbs.twimg.com/media/EC5_ZWZU4AEIr85.jpg'],0,0,4,"['ashishshelar', 'cmomaharashtra', 'adityathackeray', 'rajthackeray', 'mumbai', 'mumbaikar', 'mumbailocal']",[],https://twitter.com/PKalhatkar/status/1166009429835296768,False,,1,https://pbs.twimg.com/media/EC5_ZWZU4AEIr85.jpg,Mumbai ,,,,,,[],,,,
